QB,RB,RB,WR,WR,WR,TE,FLEX,DST,,Instructions,,,,,,,,
Ryan Fitzpatrick (15607545),Mike Davis (15607603),Alexander Mattison (15607599),Terry McLaurin (15607841),Kenny Golladay (15607831),Tyler Boyd (15607839),Eric Ebron (15608131),Devonta Freeman (15607639),Dolphins  (15608293),,1. Locate the player you want to select in the list below ,,,,,,,,
Matthew Stafford (15607542),Mike Davis (15607603),Alexander Mattison (15607599),Terry McLaurin (15607841),Kenny Golladay (15607831),Tyler Boyd (15607839),Eric Ebron (15608131),Devonta Freeman (15607639),Vikings  (15608300),,2. Copy the ID of your player (you can use the Name + ID column or the ID column) ,,,,,,,,
Ryan Fitzpatrick (15607545),Mike Davis (15607603),Antonio Gibson (15607625),Terry McLaurin (15607841),Kenny Golladay (15607831),Tyler Boyd (15607839),Eric Ebron (15608131),Alexander Mattison (15607599),Vikings  (15608300),,3. Paste the ID into the roster position desired ,,,,,,,,
Ryan Fitzpatrick (15607545),Derrick Henry (15607597),Alexander Mattison (15607599),Terry McLaurin (15607841),Kenny Golladay (15607831),Tyler Boyd (15607839),Eric Ebron (15608131),Devonta Freeman (15607639),Dolphins  (15608293),,4. You must include an ID for each player; you cannot use just the player's name ,,,,,,,,
Ryan Fitzpatrick (15607545),Alexander Mattison (15607599),Devonta Freeman (15607639),Terry McLaurin (15607841),Kenny Golladay (15607831),Adam Thielen (15607807),Eric Ebron (15608131),Tyler Boyd (15607839),Dolphins  (15608293),,5. You can create up to 500 lineups per file ,,,,,,,,
Matthew Stafford (15607542),Derrick Henry (15607597),Alexander Mattison (15607599),Terry McLaurin (15607841),Kenny Golladay (15607831),Tyler Boyd (15607839),Eric Ebron (15608131),Devonta Freeman (15607639),Vikings  (15608300),,,,,,,,,,
Matthew Stafford (15607542),Alexander Mattison (15607599),Devonta Freeman (15607639),Terry McLaurin (15607841),Kenny Golladay (15607831),Adam Thielen (15607807),Eric Ebron (15608131),Tyler Boyd (15607839),Vikings  (15608300),,Position,Name + ID,Name,ID,Roster Position,Salary,Game Info,TeamAbbrev,AvgPointsPerGame
Matthew Stafford (15607542),Mike Davis (15607603),Alexander Mattison (15607599),Davante Adams (15607803),Kenny Golladay (15607831),Jeff Smith (15608077),Eric Ebron (15608131),Tyler Boyd (15607839),Vikings  (15608300),,RB,Christian McCaffrey (15607591),Christian McCaffrey,15607591,RB/FLEX,8500,CHI@CAR 10/18/2020 01:00PM ET,CAR,26.65
Ryan Fitzpatrick (15607545),Mike Davis (15607603),Alexander Mattison (15607599),Terry McLaurin (15607841),Davante Adams (15607803),Kenny Golladay (15607831),Eric Ebron (15608131),Jeff Smith (15608077),Dolphins  (15608293),,RB,Dalvin Cook (15607593),Dalvin Cook,15607593,RB/FLEX,8000,ATL@MIN 10/18/2020 01:00PM ET,MIN,24.06
Matthew Stafford (15607542),Mike Davis (15607603),Alexander Mattison (15607599),Terry McLaurin (15607841),Davante Adams (15607803),Kenny Golladay (15607831),Eric Ebron (15608131),Jeff Smith (15608077),Vikings  (15608300),,WR,Davante Adams (15607803),Davante Adams,15607803,WR/FLEX,8000,GB@TB 10/18/2020 04:25PM ET,GB,25.6
Ryan Fitzpatrick (15607545),Derrick Henry (15607597),Mike Davis (15607603),Kenny Golladay (15607831),Jeff Smith (15608077),Tyler Boyd (15607839),Jonnu Smith (15608115),Alexander Mattison (15607599),Vikings  (15608300),,WR,Calvin Ridley (15607805),Calvin Ridley,15607805,WR/FLEX,7800,ATL@MIN 10/18/2020 01:00PM ET,ATL,22.82
Ryan Fitzpatrick (15607545),Mike Davis (15607603),Alexander Mattison (15607599),Kenny Golladay (15607831),Adam Thielen (15607807),Jeff Smith (15608077),Jonnu Smith (15608115),Tyler Boyd (15607839),Vikings  (15608300),,QB,Lamar Jackson (15607534),Lamar Jackson,15607534,QB,7700,BAL@PHI 10/18/2020 01:00PM ET,BAL,20.15
Matthew Stafford (15607542),Derrick Henry (15607597),Mike Davis (15607603),Kenny Golladay (15607831),Jeff Smith (15608077),Tyler Boyd (15607839),Eric Ebron (15608131),Alexander Mattison (15607599),Dolphins  (15608293),,RB,Aaron Jones (15607595),Aaron Jones,15607595,RB/FLEX,7600,GB@TB 10/18/2020 04:25PM ET,GB,26.22
Ryan Fitzpatrick (15607545),Derrick Henry (15607597),Antonio Gibson (15607625),Terry McLaurin (15607841),Kenny Golladay (15607831),Tyler Boyd (15607839),Eric Ebron (15608131),Alexander Mattison (15607599),Vikings  (15608300),,QB,Aaron Rodgers (15607535),Aaron Rodgers,15607535,QB,7500,GB@TB 10/18/2020 04:25PM ET,GB,27.52
